key,term
oop.debates_CDC1202_02,"1,9,308,623"
oop.debates_CDC2104,"1,9,299,650"
oop.debates_CDC1402,"1,9,241,649"
oop.debates_CDC2902,"1,9,275,597"
oop.debates_HOC2003_20,"5,12,302,383"
oop.debates_HOC2401_20,"5,12,310,311"
oop.debates_CDC1906_20,"1,9,347,641"
oop.debates_CDC1404_03,"1,9,241,584"
oop.debates_HOC2101_01,"5,12,327,340"
oop.debates_CDC1102,"1,9,365,528"
oop.debates_HOC2104,"5,12,327,605"
oop.debates_SOC3301,"5,6,439,607"
oop.debates_SOC2202,"5,6,266,606"
oop.debates_SDC1804_01,"1,2,305,674"
oop.debates_HOC2402_01,"5,12,310,481"
oop.debates_SOC3003,"5,6,290,453"
oop.debates_HOC0403_02,"5,12,25,103"
oop.debates_HOC1201_03,"5,12,370,413"
oop.debates_CDC2106_02,"1,9,299,526"
oop.debates_HOC3302_13,"5,12,358,359"
oop.debates_CDC1501_01,"1,9,582,583"
oop.debates_HOC3302_02,"5,12,358,359"
oop.debates_HOC1901,"5,12,337,496"
oop.debates_HOC1603_01,"5,12,343,500"
oop.debates_SOC0105_01,"5,6,7,8"
oop.debates_HOC0301,"5,12,13,27"
oop.debates_SOC1305,"5,6,233,258"
oop.debates_CDC3002,"1,9,396,493"
oop.debates_SDC0801_08,"1,2,3,4"
oop.debates_SOC1207_01,"5,6,243,462"
oop.debates_CDC0501_02,"1,9,54,187"
oop.debates_CDC1603_03,"1,9,351,563"
oop.debates_HOC1903_05,"5,12,337,507"
oop.debates_HOC2405_03,"5,12,310,325"
oop.debates_CDC3003,"1,9,396,535"
oop.debates_CDC1202_01,"1,9,308,623"
oop.debates_CDC1004_02,"1,9,249,436"
oop.debates_HOC3501_09,"5,12,93,94"
oop.debates_CDC3403_04,"1,9,23,24"
oop.debates_CDC0301,"1,9,10,46"
oop.debates_CDC1201_04,"1,9,308,309"
oop.debates_SDC2902,"1,2,483,484"
oop.debates_HOC0601,"5,12,17,185"
oop.debates_CDC0101_02,"1,9,41,111"
oop.debates_CDC2602_06,"1,9,231,341"
oop.debates_HOC0305_02,"5,12,13,139"
oop.debates_HOC3302_05,"5,12,358,359"
oop.debates_CDC0705_01,"1,9,58,59"
oop.debates_HOC3403_13,"5,12,15,16"
oop.debates_SOC0201_02,"5,6,174,197"
oop.debates_HOC1002,"5,12,273,274"
oop.debates_SOC1205,"5,6,243,304"
oop.debates_SOC0603,"5,6,37,170"
oop.debates_HOC3501_10,"5,12,93,94"
oop.debates_HOC1203_03,"5,12,370,435"
oop.debates_CDC3403_14,"1,9,23,24"
oop.debates_HOC0504_02,"5,12,19,20"
oop.debates_CDC1901_01,"1,9,347,348"
oop.debates_HOC3402_10,"5,12,15,159"
oop.debates_HOC0805_02,"5,12,21,182"
oop.debates_HOC1103_04,"5,12,458,522"
oop.debates_CDC2106_04,"1,9,299,526"
oop.debates_SDC3003,"1,2,315,665"
oop.debates_HOC2802_04,"5,12,245,585"
oop.debates_SDC2105,"1,2,368,369"
oop.debates_CDC0502,"1,9,54,55"
oop.debates_SDC2301_01,"1,2,259,260"
oop.debates_SOC3101_01,"5,6,419,420"
oop.debates_HOC3201_04,"5,12,333,334"
oop.debates_HOC0904_04,"5,12,117,218"
oop.debates_SOC3302_02,"5,6,439,440"
oop.debates_CDC0703_07,"1,9,58,132"
oop.debates_SOC0302,"5,6,49,129"
oop.debates_CDC2202_03,"1,9,356,541"
oop.debates_SOC0601_06,"5,6,37,72"
oop.debates_HOC1204_20,"5,12,370,556"
