debates_CDC2701_04,"debates_CDC2701_04,C,P27"
SDC_0903_38_01,"SDC_0903_38_01,journaux_SDC0903,SDC-P09-S03,S,P9"
HOC_1004_43_01,"HOC_1004_43_01,journals_HOC1004,HOC-P10-S04,C,PM:Laurier\, Wilfrid,P10"
debates_CDC2601_20,"debates_CDC2601_20,C,P26"
debates_SOC2104,"debates_SOC2104,SOC-P21-S04,S,P21"
debates_HOC2603,"debates_HOC2603,HOC-P26-S03,C,PM:Pearson\, Lester Bowles,P26"
debates_HOC2404_04,"debates_HOC2404_04,C,P24"
debates_SDC3201,"debates_SDC3201,SDC-P32-S01,S,P32"
debates_CDC1706_04,"debates_CDC1706_04,C,P17"
debates_CDC1603_01,"debates_CDC1603_01,C,P16"
debates_SOC2702_01,"debates_SOC2702_01,S,P27"
debates_SDC0202_01,"debates_SDC0202_01,S,P2"
SOC_1702_69_01,"SOC_1702_69_01,journals_SOC1702,SOC-P17-S02,S,P17"
debates_CDC2803_05,"debates_CDC2803_05,C,P28"
debates_HOC2002_01,"debates_HOC2002_01,C,P20"
debates_HOC2102_20,"debates_HOC2102_20,C,P21"
debates_CDC0704,"debates_CDC0704,CDC-P07-S04,C,PM:Thompson\, John Sparrow David (1892.12.05 - 1894.12.12),P7"
debates_SOC1706,"debates_SOC1706,SOC-P17-S06,S,P17"
debates_HOC1801,"debates_HOC1801,HOC-P18-S01,C,PM:King\, William Lyon Mackenzie,P18"
debates_CDC2104_20,"debates_CDC2104_20,C,P21"
debates_HOC0401_01,"debates_HOC0401_01,C,P4"
debates_HOC1001_20,"debates_HOC1001_20,C,P10"
SOC_2804_118_01,"SOC_2804_118_01,journals_SOC2804,SOC-P28-S04,S,P28"
debates_SDC1402,"debates_SDC1402,SDC-P14-S02,S,P14"
debates_CDC1801_02,"debates_CDC1801_02,C,P18"
debates_CDC2403_01,"debates_CDC2403_01,C,P24"
debates_HOC2301_04,"debates_HOC2301_04,C,P23"
debates_HOC2201_03,"debates_HOC2201_03,C,P22"
debates_CDC1201_02,"debates_CDC1201_02,C,P12"
debates_CDC3402_11,"debates_CDC3402_11,C,P34"
debates_CDC2106,"debates_CDC2106,CDC-P21-S06,C,PM:St-Laurent\, Louis Stephen,P21"
debates_HOC1804_01,"debates_HOC1804_01,C,P18"
debates_HOC3302_12,"debates_HOC3302_12,C,P33"
debates_HOC1201,"debates_HOC1201,HOC-P12-S01,C,PM:Borden\, Robert Laird,P12"
debates_HOC3201_99,"debates_HOC3201_99,C,P32"
debates_HOC3403_11,"debates_HOC3403_11,C,P34"
debates_CDC2105,"debates_CDC2105,CDC-P21-S05,C,PM:St-Laurent\, Louis Stephen,P21"
debates_SOC2202_01,"debates_SOC2202_01,S,P22"
SDC_2802_116_01,"SDC_2802_116_01,journaux_SDC2802,SDC-P28-S02,S,P28"
debates_HOC1207_02,"debates_HOC1207_02,C,P12"
debates_HOC1804_02,"debates_HOC1804_02,C,P18"
debates_HOC3301_08,"debates_HOC3301_08,C,P33"
debates_HOC0502_02,"debates_HOC0502_02,C,P5"
debates_CDC1704_03,"debates_CDC1704_03,C,P17"
debates_CDC1403_05,"debates_CDC1403_05,C,P14"
debates_HOC2405_01,"debates_HOC2405_01,C,P24"
debates_CDC3501_01,"debates_CDC3501_01,C,P35"
debates_CDC0501_01,"debates_CDC0501_01,C,P5"
debates_CDC1801,"debates_CDC1801,CDC-P18-S01,C,PM:King\, William Lyon Mackenzie,P18"
debates_HOC3201_20,"debates_HOC3201_20,C,P32"
SDC_2105_95_01,"SDC_2105_95_01,journaux_SDC2105,SDC-P21-S05,S,P21"
debates_HOC3501_04,"debates_HOC3501_04,C,P35"
debates_CDC0704_02,"debates_CDC0704_02,C,P7"
debates_SOC2603_01,"debates_SOC2603_01,S,P26"
debates_CDC2201_20,"debates_CDC2201_20,C,P22"
debates_HOC1603_02,"debates_HOC1603_02,C,P16"
debates_HOC1804_04,"debates_HOC1804_04,C,P18"
debates_HOC2601_20,"debates_HOC2601_20,C,P26"
debates_CDC1404_01,"debates_CDC1404_01,C,P14"
debates_CDC1304_01,"debates_CDC1304_01,C,P13"
debates_CDC1804_02,"debates_CDC1804_02,C,P18"
debates_CDC1704_20,"debates_CDC1704_20,C,P17"
debates_CDC3302_20,"debates_CDC3302_20,C,P33"
debates_CDC2901_06,"debates_CDC2901_06,C,P29"
debates_HOC0704,"debates_HOC0704,HOC-P07-S04,C,PM:Thompson\, John Sparrow David (1892.12.05 - 1894.12.12),P7"
debates_CDC2901_03,"debates_CDC2901_03,C,P29"
debates_HOC2001_01,"debates_HOC2001_01,C,P20"
debates_HOC2102,"debates_HOC2102,HOC-P21-S02,C,PM:St-Laurent\, Louis Stephen,P21"
debates_HOC2102_01,"debates_HOC2102_01,C,P21"
debates_HOC3403_15,"debates_HOC3403_15,C,P34"
debates_CDC1202_02,"debates_CDC1202_02,C,P12"
debates_CDC2104,"debates_CDC2104,CDC-P21-S04,C,PM:St-Laurent\, Louis Stephen,P21"
debates_CDC1402,"debates_CDC1402,CDC-P14-S02,C,PM:King\, William Lyon Mackenzie,P14"
debates_CDC2902,"debates_CDC2902,CDC-P29-S02,C,PM:Trudeau\, Pierre Elliott,P29"
debates_HOC2003_20,"debates_HOC2003_20,C,P20"
debates_HOC2401_20,"debates_HOC2401_20,C,P24"
HOC_1102_45_01_A04,"HOC_1102_45_01_A04,journals_HOC1102,HOC-P11-S02,C,PM:Laurier\, Wilfrid,P11"
debates_CDC1906_20,"debates_CDC1906_20,C,P19"
