b2324660F,"b2324660F,CA1 EA660 90S25 EXF"
sas_19830622EP,sas_19830622EP
sas_19900118BFP,sas_19900118BFP
sas_19950628CEP,sas_19950628CEP
b1603486F,"b1603486F,CA1 EA T22 FRE"
sas_19770720EP,sas_19770720EP
sas_19931021ESt,sas_19931021ESt
b332364x,"b332364x,CA1 EA10 98T19 EXF"
sas_19930301AEP,sas_19930301AEP
sas_19600620EP,sas_19600620EP
sas_19911115CFP,sas_19911115CFP
sas_19860528AEP,sas_19860528AEP
sas_19841109BFP,sas_19841109BFP
sas_19870121ESt,sas_19870121ESt
sas_19910408FP,sas_19910408FP
b3699808E,"b3699808E,CA1 EA 2003W51 ENG"
sas_19900727BEP,sas_19900727BEP
sas_19650325BEP,sas_19650325BEP
b2395125E,"b2395125E,CA1 EA 80E82 ENG"
sas_19770329CEP,sas_19770329CEP
sas_19760621AFSt,sas_19760621AFSt
b1603474E_013,b1603474E_013
sas_19900426FSt,sas_19900426FSt
sas_19790727BEP,sas_19790727BEP
b1642546,"b1642546,CA1 EA11 55P09 ENG"
b3817180F,"b3817180F,CA1 EA 99C17 FRE"
b1603437F_005,b1603437F_005
b2360858,"b2360858,CA1 EA730 90P24 FRE"
sas_19701117FS,sas_19701117FS
sas_19750509CEP,sas_19750509CEP
b299172x,"b299172x,CA1 EA10 79T12 EXF"
sas_19711008CEP,sas_19711008CEP
sas_19760524FS,sas_19760524FS
b2515106E_005,b2515106E_005
sas_19640522AES,sas_19640522AES
sas_19691127BFP,sas_19691127BFP
sas_19771107ESt,sas_19771107ESt
sas_19860627BEP,sas_19860627BEP
sas_19911212BFP,sas_19911212BFP
b1635177,"b1635177,CA1 EA10 53T13 EXF"
b2304697F,"b2304697F,CA1 EA435 90E05 EXF"
sas_19610315EP,sas_19610315EP
sas_19861128FSt,sas_19861128FSt
sas_1980EIndexS,sas_1980EIndexS
b4132099,"b4132099,CA1 EA10 2003T27 EXF"
sas_19880802AESt,sas_19880802AESt
b1583384,"b1583384,CA1 EA10 75T07 EXF"
sas_197300409EP,sas_197300409EP
sas_19900406FSt,sas_19900406FSt
sas_19790516EP,sas_19790516EP
b1631615,"b1631615,CA1 EA10 44T15 ENG"
sas_19830114AFP,sas_19830114AFP
b1641827,"b1641827,CA1 EA11 53P62 ENG"
b2665918E,"b2665918E,CA1 EA510 95D32 ENG"
b1911119E,"b1911119E,CA1 EA 83R24 EXF"
b162975x,"b162975x,CA1 EA10 39T05 ENG"
b3706564F,"b3706564F,CA1 EA 2003V39 EXF"
sas_19530507EP,sas_19530507EP
sas_19590409EP,sas_19590409EP
sas_19850121BESt,sas_19850121BESt
sas_19790612FS,sas_19790612FS
sas_19751113FP,sas_19751113FP
b1604260F_001,b1604260F_001
b307187x,"b307187x,CA1 EA10 69T08 EXF"
b2518703F_006,b2518703F_006
sas_19840216CEP,sas_19840216CEP
sas_19930913BEP,sas_19930913BEP
sas_19850522AFP,sas_19850522AFP
b4317361,"b4317361,CA1 EA10 71T44 EXF"
sas_19890119FSt,sas_19890119FSt
b2328653,"b2328653,CA1 EA10 88T19 EXF"
sas_19900526AESt,sas_19900526AESt
b1634458,"b1634458,CA1 EA10 51T14 EXF"
b2152277E,"b2152277E,CA1 EA 88C15 EXF"
sas_197312004FS,sas_197312004FS
b3146637E,"b3146637E,CA1 EA 97C13 ENG"
b3099684,"b3099684,CA1 EA10 77T26 EXF"
sas_19900808CEP,sas_19900808CEP
b3384810E,"b3384810E,CA1 EA673 97I57 ENG"
sas_19661117EP,sas_19661117EP
sas_19730515AESt,sas_19730515AESt
sas_19750922ES,sas_19750922ES
sas_19880718CFP,sas_19880718CFP
sas_19670817EP,sas_19670817EP
sas_19750801EP,sas_19750801EP
b3818901E,"b3818901E,CA1 EA358 98C13 ENG"
b204142xE_004,b204142xE_004
sas_19920131FP,sas_19920131FP
sas_19880515FSt,sas_19880515FSt
sas_19770113FP,sas_19770113FP
b1634604,"b1634604,CA1 EA10 51T29 EXF"
sas_19900924FSt,sas_19900924FSt
sas_19870203DEP,sas_19870203DEP
b1926937F_095,b1926937F_095
sas_19810206FP,sas_19810206FP
sas_19920723EP,sas_19920723EP
b1926937F_110,b1926937F_110
b371360xF,"b371360xF,CA1 EA 2001K51 EXF"
b2292658,"b2292658,CA1 EA10 87T25 EXF"
b2231347F_013,b2231347F_013
sas_19920403FP,sas_19920403FP
b2980319E,"b2980319E,CA1 EA89 94M27 ENG"
b2367312,"b2367312,CA1 EA10 89T28 EXF"
b4276486,"b4276486,CA1 EA10 2009T03 EXF"
b3330199E,"b3330199E,CA1 EA A65 EXF"
b416717xF_006,b416717xF_006
sas_19561120EP,sas_19561120EP
sas_19820601FP,sas_19820601FP
sas_19910121AESt,sas_19910121AESt
b1926937F_048,b1926937F_048
b1926949E_061,b1926949E_061
b3480100,"b3480100,CA1 EA10 99T43 EXF"
sas_19921030CFP,sas_19921030CFP
b1603437F_018,b1603437F_018
b2289234F,"b2289234F,CA1 EA 76D22 EXF"
sas_19721118ESt,sas_19721118ESt
b2508941E,"b2508941E,CA1 EA535 89E86 ENG"
sas_19830614BEP,sas_19830614BEP
b3594968E,"b3594968E,CA1 EA365 2002N55 ENG"
b1603425F_009,b1603425F_009
sas_197500003FP,sas_197500003FP
b3527670,"b3527670,CA1 EA10 97T46 EXF"
sas_19930331AFP,sas_19930331AFP
sas_19880205CES,sas_19880205CES
sas_19811229EP,sas_19811229EP
sas_19890404FP,sas_19890404FP
sas_19891030BEP,sas_19891030BEP
sas_19721121EP,sas_19721121EP
sas_19870817FSt,sas_19870817FSt
sas_19820118EP,sas_19820118EP
b1583505,"b1583505,CA1 EA10 75T06 EXF"
sas_19840918FP,sas_19840918FP
sas_19480315ES,sas_19480315ES
b185205xE,"b185205xE,CA1 EA155 71S77 ENG"
sas_19590402EP,sas_19590402EP
b1603449E_002,b1603449E_002
sas_19861105EP,sas_19861105EP
b3463333E_055,b3463333E_055
sas_19900629BFP,sas_19900629BFP
sas_19540404ES,sas_19540404ES
sas_19911205EP,sas_19911205EP
b2333806,"b2333806,CA1 EA10 81T27 EXF"
sas_19620517AFP,sas_19620517AFP
sas_19910910AESt,sas_19910910AESt
b2331913F,"b2331913F,CA1 EA 89E83 FRE"
b2351432,"b2351432,CA1 EA10 89T24 EXF"
sas_19851007ESt,sas_19851007ESt
b219823xE,"b219823xE,CA1 EA 88D22 EXF"
sas_19740118FP,sas_19740118FP
